DATE,CC Volume
9/1/2020,387
9/2/2020,364
9/3/2020,373
9/4/2020,338
9/5/2020,69
9/6/2020,51
9/7/2020,86
9/8/2020,528
9/9/2020,447
9/10/2020,379
9/11/2020,375
9/12/2020,78
9/13/2020,59
9/14/2020,421
9/15/2020,430
9/16/2020,424
9/17/2020,404
9/18/2020,462
9/19/2020,65
9/20/2020,50
9/21/2020,568
9/22/2020,498
9/23/2020,431
9/24/2020,415
9/25/2020,366
9/26/2020,68
9/27/2020,54
9/28/2020,513
9/29/2020,463
9/30/2020,474
10/1/2020,453
10/2/2020,372
10/3/2020,74
10/4/2020,47
10/5/2020,418
10/6/2020,386
10/7/2020,398
10/8/2020,362
10/9/2020,326
10/10/2020,68
10/11/2020,59
10/12/2020,348
10/13/2020,396
10/14/2020,332
10/15/2020,361
10/16/2020,351
10/17/2020,73
10/18/2020,68
10/19/2020,389
10/20/2020,393
10/21/2020,393
10/22/2020,351
10/23/2020,403
10/24/2020,122
10/25/2020,143
10/26/2020,990
10/27/2020,959
10/28/2020,739
10/29/2020,620
10/30/2020,515
10/31/2020,98
11/1/2020,48
11/2/2020,658
11/3/2020,466
11/4/2020,699
11/5/2020,547
11/6/2020,559
11/7/2020,125
11/8/2020,58
11/9/2020,633
11/10/2020,551
11/11/2020,372
11/12/2020,537
11/13/2020,522
11/14/2020,109
11/15/2020,85
11/16/2020,643
11/17/2020,695
11/18/2020,597
11/19/2020,598
11/20/2020,381
11/21/2020,86
11/22/2020,62
11/23/2020,635
11/24/2020,570
11/25/2020,521
11/26/2020,59
11/27/2020,233
11/28/2020,127
11/29/2020,80
11/30/2020,813
12/1/2020,747
12/2/2020,723
12/3/2020,655
12/4/2020,573
12/5/2020,183
12/6/2020,134
12/7/2020,864
12/8/2020,762
12/9/2020,660
12/10/2020,625
12/11/2020,622
12/12/2020,131
12/13/2020,80
12/14/2020,939
12/15/2020,622
12/16/2020,656
12/17/2020,640
12/18/2020,534
12/19/2020,134
12/20/2020,90
12/21/2020,594
12/22/2020,524
12/23/2020,463
12/24/2020,176
12/25/2020,60
12/26/2020,140
12/27/2020,72
12/28/2020,608
12/29/2020,490
12/30/2020,430
12/31/2020,320
1/1/2021,124
1/2/2021,178
1/3/2021,110
1/4/2021,744
1/5/2021,590
1/6/2021,575
1/7/2021,605
1/8/2021,557
1/9/2021,129
1/10/2021,91
1/11/2021,691
1/12/2021,607
1/13/2021,581
1/14/2021,534
1/15/2021,562
1/16/2021,72
1/17/2021,74
1/18/2021,262
1/19/2021,618
1/20/2021,526
1/21/2021,542
1/22/2021,507
1/23/2021,134
1/24/2021,80
1/25/2021,670
1/26/2021,554
1/27/2021,571
1/28/2021,567
1/29/2021,554
1/30/2021,126
1/31/2021,89
2/1/2021,567
2/2/2021,564
2/3/2021,532
2/4/2021,596
2/5/2021,502
2/6/2021,94
2/7/2021,62
2/8/2021,598
2/9/2021,521
2/10/2021,583
2/11/2021,563
2/12/2021,497
2/13/2021,87
2/14/2021,49
2/15/2021,287
2/16/2021,558
2/17/2021,722
2/18/2021,475
2/19/2021,424
2/20/2021,84
2/21/2021,80
2/22/2021,572
2/23/2021,529
2/24/2021,567
2/25/2021,532
2/26/2021,584
2/27/2021,66
2/28/2021,42
3/1/2021,530
3/2/2021,564
3/3/2021,543
3/4/2021,506
3/5/2021,521
3/6/2021,96
3/7/2021,59
3/8/2021,621
3/9/2021,556
3/10/2021,529
3/11/2021,558
3/12/2021,529
3/13/2021,77
3/14/2021,64
3/15/2021,609
3/16/2021,603
3/17/2021,570
3/18/2021,559
3/19/2021,507
3/20/2021,105
3/21/2021,52
3/22/2021,402
